"provider","placeName","category","providerCategories","osmType","osmId","latitude","longitude","formattedAddress","distanceMeters","estimatedCredits","tags","possibleActivities","rawTags"
"geoapify","Domino's","geoapify:catering","catering | catering.fast_food | catering.fast_food.pizza","geoapify","51e6762ff7497452c0595d8ab8fafb614440f00103f901d1c3b5b801000000920308446f6d696e6f2773","40.7655023","-73.8170145","Domino's, 149-07 Northern Boulevard, New York, NY 11354, United States of America","36","1","local business | food | indoor | group-friendly | catering | catering fast food | catering fast food pizza | Domino's, 149-07 Northern Boulevard, New York, NY 11354, United States of America","food stop","name=Domino's | formatted=Domino's, 149-07 Northern Boulevard, New York, NY 11354, United States of America | address_line1=Domino's | address_line2=149-07 Northern Boulevard, New York, NY 11354, United States of America | categories=catering;catering.fast_food;catering.fast_food.pizza | city=New York | street=Northern Boulevard | housenumber=149-07"
"geoapify","Gossip House","geoapify:catering","catering | catering.restaurant | catering.restaurant.korean","geoapify","514ba13da8557452c059a3a8bd38f1614440f00103f9011057e6690100000092030c476f7373697020486f757365","40.765174","-73.8177281","Gossip House, 147-46 Northern Boulevard, New York, NY 11354, United States of America","38","1","local business | food | indoor | group-friendly | catering | catering restaurant | catering restaurant korean | Gossip House, 147-46 Northern Boulevard, New York, NY 11354, United States of America","food stop","name=Gossip House | formatted=Gossip House, 147-46 Northern Boulevard, New York, NY 11354, United States of America | address_line1=Gossip House | address_line2=147-46 Northern Boulevard, New York, NY 11354, United States of America | categories=catering;catering.restaurant;catering.restaurant.korean | city=New York | street=Northern Boulevard | housenumber=147-46"
"geoapify","149th Street","geoapify:building","building | building.commercial | commercial | commercial.shopping_mall","geoapify","5166583e4a467452c0596e45477ded614440f00102f9011bbd903300000000","40.7650601","-73.8167902","149th Street, New York, NY 11354, United States of America","41","1","local business | building | building commercial | commercial | commercial shopping mall | 149th Street, New York, NY 11354, United States of America","visit place","name=149th Street | formatted=149th Street, New York, NY 11354, United States of America | address_line1=149th Street | address_line2=New York, NY 11354, United States of America | categories=building;building.commercial;commercial;commercial.shopping_mall | city=New York | street=149th Street | housenumber="
"geoapify","Martin A Gleason Funeral Home","geoapify:commercial","commercial | service | service.funeral_directors","geoapify","51d41632b23f7452c059c079b196f1614440f00103f9016596a63e0100000092031d4d617274696e204120476c6561736f6e2046756e6572616c20486f6d65","40.7651852","-73.8163877","Martin A Gleason Funeral Home, 149-20 Northern Boulevard, New York, NY 11354, United States of America","92","1","local business | commercial | service | service funeral directors | Martin A Gleason Funeral Home, 149-20 Northern Boulevard, New York, NY 11354, United States of America","visit place","name=Martin A Gleason Funeral Home | formatted=Martin A Gleason Funeral Home, 149-20 Northern Boulevard, New York, NY 11354, United States of America | address_line1=Martin A Gleason Funeral Home | address_line2=149-20 Northern Boulevard, New York, NY 11354, United States of America | categories=commercial;service;service.funeral_directors | city=New York | street=Northern Boulevard | housenumber=149-20"
"geoapify","Prince Liquors Inc","geoapify:building","building | building.commercial | commercial | commercial.food_and_drink | commercial.food_and_drink.drinks","geoapify","51dacadc74737452c059da385854e9614440f00102f901dd06d21f000000009203125072696e6365204c6971756f727320496e63","40.7649332","-73.8195469","Prince Liquors Inc, 14620 Northern Boulevard, New York, NY 11354, United States of America","182","1","local business | food | indoor | group-friendly | building | building commercial | commercial | commercial food and drink | commercial food and drink drinks | Prince Liquors Inc, 14620 Northern Boulevard, New York, NY 11354, United States of America","food stop","name=Prince Liquors Inc | formatted=Prince Liquors Inc, 14620 Northern Boulevard, New York, NY 11354, United States of America | address_line1=Prince Liquors Inc | address_line2=14620 Northern Boulevard, New York, NY 11354, United States of America | categories=building;building.commercial;commercial;commercial.food_and_drink;commercial.food_and_drink.drinks | city=New York | street=Northern Boulevard | housenumber=14620"
"geoapify","Sandwich King","geoapify:commercial","commercial","geoapify","518708a469757452c059f8749323f8614440f00103f901c8773a650200000092030d53616e6477696368204b696e67","40.7653851","-73.8196663","Sandwich King, 146-25 Northern Boulevard, New York, NY 11354, United States of America","189","1","local business | commercial | Sandwich King, 146-25 Northern Boulevard, New York, NY 11354, United States of America","visit place","name=Sandwich King | formatted=Sandwich King, 146-25 Northern Boulevard, New York, NY 11354, United States of America | address_line1=Sandwich King | address_line2=146-25 Northern Boulevard, New York, NY 11354, United States of America | categories=commercial | city=New York | street=Northern Boulevard | housenumber=146-25"
"geoapify","7-Eleven","geoapify:building","building | building.commercial | commercial | commercial.convenience | service | service.financial | service.financial.atm","geoapify","51d06f4edb757452c059742ecca8e8614440f00102f9017ea5f51000000000920308372d456c6576656e","40.7649127","-73.8196934","7-Eleven, 146-26 Northern Boulevard, New York, NY 11354, United States of America","191","1","local business | building | building commercial | commercial | commercial convenience | service | service financial | service financial atm | 7-Eleven, 146-26 Northern Boulevard, New York, NY 11354, United States of America","visit place","name=7-Eleven | formatted=7-Eleven, 146-26 Northern Boulevard, New York, NY 11354, United States of America | address_line1=7-Eleven | address_line2=146-26 Northern Boulevard, New York, NY 11354, United States of America | categories=building;building.commercial;commercial;commercial.convenience;service;service.financial;service.financial.atm | city=New York | street=Northern Boulevard | housenumber=146-26"
"geoapify","Dunkin' Donuts","geoapify:catering","catering | catering.fast_food | internet_access","geoapify","51b008b42a787452c0598577329ef7614440f00103f901ca773a650200000092030e44756e6b696e2720446f6e757473","40.7653692","-73.8198344","Dunkin' Donuts, 146-25 Northern Boulevard, New York, NY 11354, United States of America","203","1","local business | food | indoor | group-friendly | catering | catering fast food | internet access | Dunkin' Donuts, 146-25 Northern Boulevard, New York, NY 11354, United States of America","food stop","name=Dunkin' Donuts | formatted=Dunkin' Donuts, 146-25 Northern Boulevard, New York, NY 11354, United States of America | address_line1=Dunkin' Donuts | address_line2=146-25 Northern Boulevard, New York, NY 11354, United States of America | categories=catering;catering.fast_food;internet_access | city=New York | street=Northern Boulevard | housenumber=146-25"
"geoapify","146-13 Northern Boulevard","geoapify:building","building | building.catering | catering | catering.restaurant","geoapify","5149ba1e317e7452c059eba43742f5614440f00102f90144fbf51000000000","40.7652972","-73.8202021","146-13 Northern Boulevard, New York, NY 11354, United States of America","229","1","local business | food | indoor | group-friendly | building | building catering | catering | catering restaurant | 146-13 Northern Boulevard, New York, NY 11354, United States of America","food stop","name=146-13 Northern Boulevard | formatted=146-13 Northern Boulevard, New York, NY 11354, United States of America | address_line1=146-13 Northern Boulevard | address_line2=New York, NY 11354, United States of America | categories=building;building.catering;catering;catering.restaurant | city=New York | street=Northern Boulevard | housenumber=146-13"
"geoapify","koreavillage","geoapify:building","building | building.commercial | commercial | commercial.shopping_mall","geoapify","51967b8a121e7452c0596225373ae7614440f00102f9019ba5f5100000000092030c6b6f72656176696c6c616765","40.764869","-73.8143355","koreavillage, 150-24 Northern Boulevard, New York, NY 11354, United States of America","236","1","local business | building | building commercial | commercial | commercial shopping mall | koreavillage, 150-24 Northern Boulevard, New York, NY 11354, United States of America","visit place","name=koreavillage | formatted=koreavillage, 150-24 Northern Boulevard, New York, NY 11354, United States of America | address_line1=koreavillage | address_line2=150-24 Northern Boulevard, New York, NY 11354, United States of America | categories=building;building.commercial;commercial;commercial.shopping_mall | city=New York | street=Northern Boulevard | housenumber=150-24"
