"provider","placeName","category","providerCategories","osmType","osmId","latitude","longitude","formattedAddress","distanceMeters","estimatedCredits","rating","reviewCount","reviewSummary","sourceUrls","tags","possibleActivities","rawTags"
"osm","Book Chang Dong Soon Tofu","amenity:restaurant","","node","2473787117","40.7647322","-73.8121526","","","","","","","","food | indoor | group-friendly | addr city | flushing | addr:city:flushing | addr street | northern boulevard | addr:street:northern boulevard | amenity | restaurant | amenity:restaurant | cuisine | korean | cuisine:korean | name | book chang dong soon tofu | name:book chang dong soon tofu","food stop","addr:city=Flushing | addr:housenumber=152-22 | addr:postcode=11354 | addr:street=Northern Boulevard | amenity=restaurant | cuisine=korean | name=Book Chang Dong Soon Tofu"
"osm","IHOP","amenity:restaurant","","node","2882546762","40.764417","-73.8092563","","","","","","","","food | indoor | group-friendly | addr city | flushing | addr:city:flushing | addr state | addr:state:ny | addr street | northern boulevard | addr:street:northern boulevard | amenity | restaurant | amenity:restaurant | brand | ihop | brand:ihop | brand wikidata | q1185675 | brand:wikidata:q1185675 | cuisine | breakfast;pancake | cuisine:breakfast;pancake | name","food stop","addr:city=Flushing | addr:housenumber=155-17 | addr:postcode=11354 | addr:state=NY | addr:street=Northern Boulevard | amenity=restaurant | brand=IHOP | brand:wikidata=Q1185675 | cuisine=breakfast;pancake | name=IHOP"
"osm","Great Scot","shop:dry_cleaning","","node","2882557492","40.7636668","-73.808515","","","","","","","","indoor | local business | addr street | northern boulevard | addr:street:northern boulevard | name | great scot | name:great scot | shop | dry cleaning | shop:dry cleaning","dry cleaning stop","addr:housenumber=156-50 | addr:postcode=11354 | addr:street=Northern Boulevard | name=Great Scot | shop=dry_cleaning"
"osm","SoDam","amenity:restaurant","","node","2882557493","40.7636548","-73.8084125","","","","","","","","food | indoor | group-friendly | addr street | northern boulevard | addr:street:northern boulevard | amenity | restaurant | amenity:restaurant | cuisine | korean | cuisine:korean | name | sodam | name:sodam","food stop","addr:housenumber=156-52 | addr:postcode=11354 | addr:street=Northern Boulevard | amenity=restaurant | cuisine=korean | name=SoDam"
"osm","Mad for Chicken","amenity:restaurant","","node","2882557501","40.7634625","-73.8077171","","","","","","","","food | indoor | group-friendly | addr street | northern boulevard | addr:street:northern boulevard | amenity | restaurant | amenity:restaurant | cuisine | korean;wings;soju | cuisine:korean;wings;soju | description | name | mad for chicken | name:mad for chicken","food stop","addr:housenumber=157-18 | addr:postcode=11354 | addr:street=Northern Boulevard | amenity=restaurant | cuisine=korean;wings;soju | description=Pocket-size eatery known for crispy, Korean-style fried chicken & beer/sake/soju selections. | name=Mad for Chicken"
"osm","Mahsil","amenity:restaurant","","node","2882557534","40.7634292","-73.8141632","","","","","","","","food | indoor | group-friendly | addr city | flushing | addr:city:flushing | addr state | addr:state:ny | addr street | 150th street | addr:street:150th street | amenity | restaurant | amenity:restaurant | cuisine | korean;chinese;pizza | cuisine:korean;chinese;pizza | name | mahsil | name:mahsil","food stop","addr:city=Flushing | addr:housenumber=40-07 | addr:postcode=11354 | addr:state=NY | addr:street=150th Street | amenity=restaurant | cuisine=korean;chinese;pizza | name=Mahsil"
"osm","Han Joo Chik Naeng Myun & BBQ","amenity:restaurant","","node","2882557552","40.7620306","-73.8147718","","","","","","","","food | indoor | group-friendly | addr city | flushing | addr:city:flushing | addr state | addr:state:ny | addr street | 149th place | addr:street:149th place | amenity | restaurant | amenity:restaurant | name | han joo chik naeng myun & bbq | name:han joo chik naeng myun & bbq","food stop","addr:city=Flushing | addr:housenumber=41-06 | addr:postcode=11355 | addr:state=NY | addr:street=149th Place | amenity=restaurant | name=Han Joo Chik Naeng Myun & BBQ"
"osm","92 Chicken","amenity:restaurant","","node","2882630427","40.7653243","-73.813984","","","","","","","","food | indoor | group-friendly | addr street | northern boulevard | addr:street:northern boulevard | amenity | restaurant | amenity:restaurant | name | 92 chicken | name:92 chicken","food stop","addr:housenumber=150-29 | addr:postcode=11354 | addr:street=Northern Boulevard | amenity=restaurant | name=92 Chicken"
"osm","Best Whitestone Liquor","shop:alcohol","","node","2882638791","40.7644721","-73.8227785","","","","","","","","indoor | local business | addr city | flushing | addr:city:flushing | addr state | addr:state:ny | addr street | northern boulevard | addr:street:northern boulevard | drive through | drive through:no | name | best whitestone liquor | name:best whitestone liquor | opening hours | mo-su 09:00-19:00 | opening hours:mo-su 09:00-19:00 | shop | alcohol | shop:alcohol","alcohol stop","addr:city=Flushing | addr:housenumber=144-12 | addr:postcode=11354 | addr:state=NY | addr:street=Northern Boulevard | drive_through=no | name=Best Whitestone Liquor | opening_hours=Mo-Su 09:00-19:00 | shop=alcohol"
"osm","T-Mobile","shop:mobile_phone","","node","2882803489","40.7648265","-73.8232397","","","","","","","","indoor | local business | addr city | flushing | addr:city:flushing | addr state | addr:state:ny | addr street | northern boulevard | addr:street:northern boulevard | brand | t-mobile | brand:t-mobile | brand wikidata | q3511885 | brand:wikidata:q3511885 | internet access | yes | internet access:yes | name | name:t-mobile | opening hours | mo-su 10:00-18:00 | opening hours:mo-su 10:00-18:00","mobile phone stop","addr:city=Flushing | addr:housenumber=144-03 | addr:postcode=11354 | addr:state=NY | addr:street=Northern Boulevard | brand=T-Mobile | brand:wikidata=Q3511885 | internet_access=yes | name=T-Mobile | opening_hours=Mo-Su 10:00-18:00 | shop=mobile_phone | wheelchair=yes"
"osm","Kakaboka Hair Salon","shop:hairdresser","","node","2882803491","40.7648375","-73.8231401","","","","","","","","indoor | local business | addr city | flushing | addr:city:flushing | addr state | addr:state:ny | addr street | northern boulevard | addr:street:northern boulevard | name | kakaboka hair salon | name:kakaboka hair salon | opening hours | mo-su 10:00-20:00 | opening hours:mo-su 10:00-20:00 | shop | hairdresser | shop:hairdresser","hairdresser stop","addr:city=Flushing | addr:housenumber=144-07 | addr:postcode=11354 | addr:state=NY | addr:street=Northern Boulevard | name=Kakaboka Hair Salon | opening_hours=Mo-Su 10:00-20:00 | shop=hairdresser"
"osm","Parsons Flower","shop:florist","","node","2882803708","40.7649396","-73.8233796","","","","","","","","indoor | local business | addr street | parsons boulevard | addr:street:parsons boulevard | name | parsons flower | name:parsons flower | shop | florist | shop:florist","florist stop","addr:housenumber=35-25 | addr:postcode=11354 | addr:street=Parsons Boulevard | name=Parsons Flower | shop=florist"
"osm","Peking Empire","amenity:restaurant","","node","2883431954","40.7642549","-73.8255725","","","","","","","","food | indoor | group-friendly | addr city | flushing | addr:city:flushing | addr state | addr:state:ny | addr street | northern boulevard | addr:street:northern boulevard | amenity | restaurant | amenity:restaurant | cuisine | chinese;chicken;dumpling;fried rice;sesame seed chicken | cuisine:chinese;chicken;dumpling;fried rice;sesame seed chicken | delivery | yes | delivery:yes | name | peking empire | name:peking empire | opening hours","food stop","addr:city=Flushing | addr:housenumber=141-06 | addr:postcode=11354 | addr:state=NY | addr:street=Northern Boulevard | amenity=restaurant | cuisine=chinese;chicken;dumpling;fried_rice;sesame_seed_chicken | delivery=yes | name=Peking Empire | opening_hours=Mo-Th 11:00-22:45, Fr-Sa 11:00-23:30, Su 11:30-22:45 | smoking=no"
"osm","Los Marinillos","amenity:restaurant","","node","2883431955","40.764257","-73.8254489","","","","","","","","food | indoor | group-friendly | addr city | flushing | addr:city:flushing | addr state | addr:state:ny | addr street | northern boulevard | addr:street:northern boulevard | amenity | restaurant | amenity:restaurant | cuisine | colombian;breakfast;deli;coffee;empanada;sandwich;lunch | cuisine:colombian;breakfast;deli;coffee;empanada;sandwich;lunch | delivery | yes | delivery:yes | name | los marinillos | name:los marinillos | opening hours","food stop","addr:city=Flushing | addr:housenumber=141-08 | addr:postcode=11354 | addr:state=NY | addr:street=Northern Boulevard | amenity=restaurant | cuisine=colombian;breakfast;deli;coffee;empanada;sandwich;lunch | delivery=yes | name=Los Marinillos | opening_hours=Mo-Su 07:00-19:00 | takeaway=yes | wheelchair=yes"
