"activityName","placeName","source","fitsPreference","preferenceMatchScore","confidenceScore","provider","providerId","providerCategories","location","tags","sourceUrls","verificationSources","evidenceSummary","reason","missingInfo","possibleConcerns"
"Bubble Tea Stop at N25 Nitro Tea","N25 Nitro Tea","google_places","true","1","0.8","google_places","ChIJY7AC5bJhwokR3a__zFsgynI","tea_house | Tea House | coffee_shop | cafe | food_store | store | food | point_of_interest | establishment","N25 Nitro Tea | 40.758922999999996 | -73.8302976","local business | food | indoor | group-friendly | bubble tea | tea | coffee | tea house | Tea house | coffee shop | cafe | food store | point of interest | store | establishment | Tea House | bubble tea stop | food stop","https://maps.google.com/?cid=8271459244272758749&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","https://maps.google.com/?cid=8271459244272758749&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","N25 Nitro Tea is listed by Google Places as tea_house, Tea House, coffee_shop, cafe, food_store, store, food, point_of_interest, establishment. Evelyn Y, 5/5, a month ago: This is exactly the kind of coffee and tea I’ve been looking for! The equipment is professional, the ingredients are fresh, and the flavors are really unique. I’ll definitely be coming back! Mia Grant, 5/5, 2 weeks ago: Actually unreal!! I just discovered this place and i had the strawberry matcha , tasted soooo delicious and FRESH!! Must try🍓 TUNG LO, 5/5, a month ago: ⭐⭐⭐⭐⭐ Must-try spot in Flushing! The nitro infusion gives the tea an incredibly smooth, creamy texture that sets it apart from your average boba shop. The ""Iced Queens"" Vietnamese coffee is also a standout. Highly recommend!","Google Places identifies N25 Nitro Tea as a physical place suitable for bubble tea stop, food stop.","Current hours, pricing, and crowd levels are not verified.",""
"Bubble Tea Stop at Xing Fu Tang Flushing","Xing Fu Tang Flushing","google_places","true","1","0.8","google_places","ChIJwy3FzephwokRioE1cMczi58","tea_house | Tea House | point_of_interest | establishment","Xing Fu Tang Flushing | 40.758215299999996 | -73.82967870000002","local business | food | indoor | group-friendly | bubble tea | tea | tea house | Tea house | point of interest | establishment | Tea House | Local outpost of a Taiwanese shop specializing in brown sugar boba prepared in an open kitchen. | bubble tea stop | food stop","https://maps.google.com/?cid=11496339405467386250&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","https://maps.google.com/?cid=11496339405467386250&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","Xing Fu Tang Flushing is listed by Google Places as tea_house, Tea House, point_of_interest, establishment. Local outpost of a Taiwanese shop specializing in brown sugar boba prepared in an open kitchen. [object Object] Andre Alyass, 4/5, 5 months ago: Really good! If you are in flushing try this place out. The shop really stands out and the brown sugar tapioca so really delicious. They also have good hot matcha. I think the milk is not so refreshing compared to another place but overall, great quality boba and really delicious tapioca. Jason S, 5/5, 4 months ago: I had the Thai tea boba and the boba pearls man it was amazingly good. It’s made fresh by the window. I highly recommend this place if you’re a boba lover🧋 10/10…! Bonnie Ye, 4/5, 6 months ago: I visited this place three days in a row! ","Google Places identifies Xing Fu Tang Flushing as a physical place suitable for bubble tea stop, food stop.","Current hours, pricing, and crowd levels are not verified.",""
"Bubble Tea Stop at Great East Boba","Great East Boba","google_places","true","1","0.8","google_places","ChIJC3KMMQBhwokRdqXlDMoId5Y","tea_house | Tea House | point_of_interest | establishment","Great East Boba | 40.771506099999996 | -73.82690629999999","local business | food | indoor | group-friendly | bubble tea | tea | tea house | Tea house | point of interest | establishment | Tea House | bubble tea stop | food stop","https://maps.google.com/?cid=10842144291810551158&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","https://maps.google.com/?cid=10842144291810551158&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","Great East Boba is listed by Google Places as tea_house, Tea House, point_of_interest, establishment. multifaceted wanderer, 5/5, 6 months ago: Great local gem. Heard about them on social media, and the story behind the establishment is beautiful. A very diverse menu for caffeine lovers / kids / fruit or milk tea enthusiasts. Greeted upon entry by the young lovely owner of the boba establishment- she was super friendly and patient. Came here late night and there was still a line for boba (a good sign)! I prefer to support small boba chains when I can, especially if they’re as delicious and fresh as the one at great east! Will most definitely be returning. mj, 5/5, a month ago: i tried on too good to go, wow! very tasty. not 100% sure what i got but i think it was some form of tea and pearls,","Google Places identifies Great East Boba as a physical place suitable for bubble tea stop, food stop.","Current hours, pricing, and crowd levels are not verified.",""
"Bubble Tea Stop at Krazy Carrot Juice Bar & Boba Tea Shop","Krazy Carrot Juice Bar & Boba Tea Shop","google_places","true","1","0.8","google_places","ChIJPZrVhQhfwokRr1lUPciWePw","tea_house | Tea House | point_of_interest | establishment","Krazy Carrot Juice Bar & Boba Tea Shop | 40.7619999 | -73.8668739","local business | food | indoor | group-friendly | bubble tea | tea | tea house | Tea house | point of interest | establishment | Tea House | bubble tea stop | food stop","https://maps.google.com/?cid=18192456481529682351&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","https://maps.google.com/?cid=18192456481529682351&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","Krazy Carrot Juice Bar & Boba Tea Shop is listed by Google Places as tea_house, Tea House, point_of_interest, establishment. Tiffany, 5/5, 2 years ago: Stumbled across this bubble tea spot on the way to a convenience store to get a drink. The vivid signs caught my attention and thought I would give it a shot. We received our two drinks in under ten minutes. The lady selling them was nice and seems to be the owner of the bubble tea truck. Drinks were so good! Nicole, 5/5, 2 years ago: Such a good place! Fast and friendly service 😊 aravind Jeyagraham, 5/5, 2 years ago: Hidden gem","Google Places identifies Krazy Carrot Juice Bar & Boba Tea Shop as a physical place suitable for bubble tea stop, food stop.","Current hours, pricing, and crowd levels are not verified.",""
"Bubble Tea Stop at TEAPULSE - Flushing","TEAPULSE - Flushing","google_places","true","0.5","0.8","google_places","ChIJ_bfiBABhwokR2d0YGCBTUzs","tea_house | Tea house | coffee_shop | cafe | pastry_shop | dessert_shop | confectionery | bakery | food_store | restaurant | food | point_of_interest | store | establishment","TEAPULSE - Flushing | 40.7604211 | -73.8325991","local business | food | indoor | group-friendly | bubble tea | tea | bakery | dessert | coffee | tea house | Tea house | coffee shop | cafe | pastry shop | dessert shop | confectionery | food store | restaurant","https://maps.google.com/?cid=4274851868613074393&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA | https://maps.google.com/?cid=4085943815389414205&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","https://maps.google.com/?cid=4274851868613074393&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA | https://maps.google.com/?cid=4085943815389414205&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","TEAPULSE - Flushing is listed by Google Places as tea_house, Tea house, coffee_shop, cafe, pastry_shop, dessert_shop, confectionery, bakery, food_store, restaurant, food, point_of_interest, store, establishment. ChaHalo 茶话弄 - Flushing is listed by Google Places as tea_house, Tea House, restaurant, food, point_of_interest, establishment. [object Object] Jiaojiao Zhong, 5/5, a month ago: I had such a great experience at this tea shop! The drinks are consistently delicious, fresh, and perfectly balanced, not overly sweet like many other places. The atmosphere is clean, cozy, and welcoming, making it a great spot to relax or catch up with friends. I especially want to give a shoutout to one of t","Google Places identifies TEAPULSE - Flushing as a physical place suitable for bubble tea stop, food stop. Google Places identifies ChaHalo 茶话弄 - Flushing as a physical place suitable for bubble tea stop, food stop.","Current hours, pricing, and crowd levels are not verified.",""
"Food Stop at Xi Top BBQ","Xi Top BBQ","google_places","true","0.5","0.8","google_places","ChIJYweDOXNhwokRtg9Bg_YIlqk","barbecue_restaurant | Barbecue restaurant | korean_barbecue_restaurant | chinese_restaurant | korean_restaurant | restaurant | food | point_of_interest | establishment","Xi Top BBQ | 40.7625386 | -73.8150718","local business | food | indoor | group-friendly | barbecue restaurant | Barbecue restaurant | korean barbecue restaurant | chinese restaurant | korean restaurant | restaurant | point of interest | establishment | food stop | kebab shop | hot pot restaurant | bar","https://maps.google.com/?cid=12219964493773475766&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA | https://maps.google.com/?cid=13395077635338668661&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","https://maps.google.com/?cid=12219964493773475766&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA | https://maps.google.com/?cid=13395077635338668661&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","Xi Top BBQ is listed by Google Places as barbecue_restaurant, Barbecue restaurant, korean_barbecue_restaurant, chinese_restaurant, korean_restaurant, restaurant, food, point_of_interest, establishment. Friendship BBQ is listed by Google Places as barbecue_restaurant, Barbecue restaurant, kebab_shop, hot_pot_restaurant, bar, restaurant, food, point_of_interest, establishment.","Google Places identifies Xi Top BBQ as a physical place suitable for food stop. Google Places identifies Friendship BBQ as a physical place suitable for food stop.","Current hours, pricing, and crowd levels are not verified.",""
"Bubble Tea Stop at Tiger Sugar","Tiger Sugar","google_places","true","0.5","0.8","google_places","ChIJrz0KYl1ZwokRPkoiBnnGTxw","tea_house | Tea house | coffee_shop | cafe | food_store | food | point_of_interest | store | establishment","Tiger Sugar | 40.7593046 | -73.82913429999999","local business | food | indoor | group-friendly | bubble tea | tea | coffee | tea house | Tea house | coffee shop | cafe | food store | point of interest | store | establishment | bubble tea stop | food stop","https://maps.google.com/?cid=2040067379318377022&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","https://maps.google.com/?cid=2040067379318377022&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","Tiger Sugar is listed by Google Places as tea_house, Tea house, coffee_shop, cafe, food_store, food, point_of_interest, store, establishment.","Google Places identifies Tiger Sugar as a physical place suitable for bubble tea stop, food stop.","Current hours, pricing, and crowd levels are not verified.",""
"Bubble Tea Stop at Project TCG (奶茶/咖啡，卡牌，宝可梦，海贼王，高达)","Project TCG (奶茶/咖啡，卡牌，宝可梦，海贼王，高达)","google_places","true","0.5","0.8","google_places","ChIJKxTToyxhwokRom_bm6NQGq8","tea_house | Tea house | coffee_shop | cafe | amusement_center | association_or_organization | food_store | food | point_of_interest | store | establishment","Project TCG (奶茶/咖啡，卡牌，宝可梦，海贼王，高达) | 40.7626144 | -73.8321563","local business | food | indoor | group-friendly | bubble tea | tea | coffee | tea house | Tea house | coffee shop | cafe | amusement center | association or organization | food store | point of interest | store | establishment | bubble tea stop | food stop","https://maps.google.com/?cid=12617485969656606626&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","https://maps.google.com/?cid=12617485969656606626&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","Project TCG (奶茶/咖啡，卡牌，宝可梦，海贼王，高达) is listed by Google Places as tea_house, Tea house, coffee_shop, cafe, amusement_center, association_or_organization, food_store, food, point_of_interest, store, establishment.","Google Places identifies Project TCG (奶茶/咖啡，卡牌，宝可梦，海贼王，高达) as a physical place suitable for bubble tea stop, food stop.","Current hours, pricing, and crowd levels are not verified.",""
"Food Stop at Sky Food Court","Sky Food Court","google_places","true","0.5","0.8","google_places","ChIJOUsncABhwokRZUzapk9Bvjc","chinese_restaurant | Chinese restaurant | restaurant | food | point_of_interest | establishment","Sky Food Court | 40.757202799999995 | -73.8356721","local business | food | indoor | group-friendly | chinese restaurant | Chinese restaurant | restaurant | point of interest | establishment | food stop","https://maps.google.com/?cid=4016719728018607205&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","https://maps.google.com/?cid=4016719728018607205&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","Sky Food Court is listed by Google Places as chinese_restaurant, Chinese restaurant, restaurant, food, point_of_interest, establishment.","Google Places identifies Sky Food Court as a physical place suitable for food stop.","Current hours, pricing, and crowd levels are not verified.",""
"Bubble Tea Stop at UMI TEA Fried Chicken & Sushi","UMI TEA Fried Chicken & Sushi","google_places","true","0.5","0.8","google_places","ChIJK3k8uO5hwokRxGnn7XeCM4U","tea_house | Tea House | ramen_restaurant | sushi_restaurant | dim_sum_restaurant | dessert_restaurant | cantonese_restaurant | chinese_restaurant | japanese_restaurant | restaurant | food | point_of_interest | establishment","UMI TEA Fried Chicken & Sushi | 40.7516043 | -73.8257728","local business | food | indoor | group-friendly | bubble tea | tea | dessert | tea house | Tea house | sushi restaurant | dessert restaurant | ramen restaurant | dim sum restaurant | cantonese restaurant | chinese restaurant | japanese restaurant | restaurant | point of interest | establishment | Tea House | bubble tea stop | food stop","https://maps.google.com/?cid=9598158682460744132&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","https://maps.google.com/?cid=9598158682460744132&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","UMI TEA Fried Chicken & Sushi is listed by Google Places as tea_house, Tea House, ramen_restaurant, sushi_restaurant, dim_sum_restaurant, dessert_restaurant, cantonese_restaurant, chinese_restaurant, japanese_restaurant, restaurant, food, point_of_interest, establishment. [object Object] Chen饭饭, 5/5, 6 months ago: The milk tea is really delicious and the sushi is super fresh. The short-haired girl at the front desk is so cute — funny, patient, and really friendly. She makes the whole experience even better. 5 star for her！Definitely coming back! Marcy, 1/5, 6 months ago: Okay…. Imagine this- it’s 1am and you just came out of work and it’s 18 degrees outside… stay with me… you get your order and when you get home the chicken does not look Chispy and there was a buy one get one free but fishy received any. Just the chicken alone was 11 dollars and it’s such a small portion :( plus it doesn’t look appealing. Sarah, 5/5, a year ago: I popped in w/ friends to grab","Google Places identifies UMI TEA Fried Chicken & Sushi as a physical place suitable for bubble tea stop, food stop.","Current hours, pricing, and crowd levels are not verified.",""
